rootid,store,categories,category_image,description,url_key,is_active,meta_title,url_path,is_anchor,meta_keywords,meta_description,display_mode
2,admin,"Hygiéne Sanitaire/Distributeurs Papiers, distributeurs savons/Distributeurs Savon",,,,1,,,0,,,PRODUCTS
2,admin,"Hygiéne Sanitaire/Distributeurs Papiers, distributeurs savons/Porte rouleaux",,,,1,,,0,,,PRODUCTS
2,admin,"Hygiéne Sanitaire/Distributeurs Papiers, distributeurs savons/Sèche mains électriques",,,,1,,,0,,,PRODUCTS
2,admin,Hygiéne Sanitaire/Assainisseurs d'ambiance,assainisseurs-img.jpg,,,1,,,0,,,PRODUCTS
2,admin,Hygiéne Sanitaire/Assainisseurs d'ambiance/Parfum d'ambiance,,,,1,,,0,,,PRODUCTS
2,admin,Hygiéne Sanitaire/Assainisseurs d'ambiance/Recharges assainisseur,,,,1,,,0,,,PRODUCTS
2,admin,Hygiéne Sanitaire/Assainisseurs d'ambiance/Aérosol bactéricide,,,,1,,,0,,,PRODUCTS
2,admin,Hygiéne Sanitaire/Assainisseurs d'ambiance/Aérosol désodorisants,,,,1,,,0,,,PRODUCTS
2,admin,Hygiéne Sanitaire/Assainisseurs d'ambiance/Blocs désodorisants,,,,1,,,0,,,PRODUCTS
2,admin,Hygiéne Sanitaire/Assainisseurs d'ambiance/Destructeurs d'odeur,,,,1,,,0,,,PRODUCTS
2,admin,Hygiéne Sanitaire/Accessoires sanitaires,accessoires-img.jpg,,,1,,,0,,,PRODUCTS
2,admin,Hygiéne Sanitaire/Accessoires sanitaires/Balayette W.C.,,,,1,,,0,,,PRODUCTS
2,admin,Hygiéne Sanitaire/Accessoires sanitaires/Poubelle sanitaires,,,,1,,,0,,,PRODUCTS
2,admin,Hygiéne Sanitaire/Accessoires sanitaires/Sèche-mains,,,,1,,,0,,,PRODUCTS
2,admin,Hygiéne Sanitaire/Accessoires sanitaires/Lavette microfibre,,,,1,,,0,,,PRODUCTS
2,admin,Essuyage Industriel,,,essuyage-industriel,1,,essuyage-industriel.html,1,,,PRODUCTS
2,admin,Essuyage Industriel/Microfibres polyvalentes,microfibres-img.jpg,,,1,,,0,,,PRODUCTS
2,admin,"Essuyage Industriel/Microfibres polyvalentes/Lavette ""microclean"" spéciale vitres",,,,1,,,0,,,PRODUCTS
2,admin,Essuyage Industriel/Microfibres polyvalentes/Lavettes microfibres bactéricides,,,,1,,,0,,,PRODUCTS
2,admin,Essuyage Industriel/Microfibres polyvalentes/Lavette microfibre,,,,1,,,0,,,PRODUCTS
2,admin,Essuyage Industriel/Tissu d'essuyage,tissu-img.jpg,,,1,,,0,,,PRODUCTS
2,admin,Essuyage Industriel/Tissu d'essuyage/Lavette essuie vite,,,,1,,,0,,,PRODUCTS
2,admin,Essuyage Industriel/Tissu d'essuyage/Peau Vileda,,,,1,,,0,,,PRODUCTS
2,admin,Essuyage Industriel/Tissu d'essuyage/Torchonette Vileda,,,,1,,,0,,,PRODUCTS
2,admin,Essuyage Industriel/Tissu d'essuyage/Chamoisine,,,,1,,,0,,,PRODUCTS
2,admin,Essuyage Industriel/Tissu d'essuyage/Chiffons,,,,1,,,0,,,PRODUCTS
